Sr.no,Player Name,Player Name 2
1,Mahmudullah,
2,Mohammad Naim,
3,Soumya Sarkar,
4,Liton Das,
5,Shakib Al Hasan,
6,Mushfiqur Rahim,
7,Afif Hossain,
8,Nurul Hasan,
9,Mahedi Hasan,
10,Nasum Ahmed,
11,Mustafizur Rahman,
12,Shoriful Islam,
13,Taskin Ahmed,
14,Mohammad Saifuddin,
15,Shamim Hossain,
