Sr.no,Player Name,Player Name 2
1,Kyle Coetzer,
2,Richard Berrington,
3,Dylan Budge,
4,Matthew Cross,
5,Josh Davey,
6,Alasdair Evans,
7,Chris Greaves,
8,Oli Hairs,
9,Michael Leask,
10,Calum Macleod,
11,George Munsey,
12,Safyaan Sharif,
13,Chris Sole,
14,Hamza Tahir,
15,Craig Wallace,
16,Mark Watt,
17,Brad Wheal,
