Sr.no,Player Name,Player Name 2
1,Aaron Finch,AJ Finch (c)
2,David Warner,DA Warner
3,Steve Smith,
4,Glenn Maxwell,GJ Maxwell
5,Mitchell Marsh,MR Marsh
6,Matthew Wade,MS Wade
7,Ashton Agar,AC Agar
8,Pat Cummins,PJ Cummins
9,Mitchell Starc,MA Starc
10,Kane Richardson,KW Richardson
11,Adam Zampa,A Zampa
12,Josh Hazlewood,
13,Marcus Stoinis,
14,Mitchell Swepson,
15,Josh Inglis,
R,Dan Christian,
R,Nathan Ellis,
R,Daniel Sams,
