Sr.no,Player Name,Player Name 1
,Kieron Pollard,KA Pollard (c)
,Kieron Pollard,KA Pollard
,Nicholas Pooran,N Pooran
,Fabian Allen,FA Allen
,Dwayne Bravo,DJ Bravo
,Roston Chase,
,Andre Fletcher,
,Chris Gayle,
,Shimron Hetmyer,SO Hetmyer
,Evin Lewis,E Lewis
,Obed McCoy,
,Ravi Rampaul,
,Andre Russell,AD Russell
,Lendl Simmons,LMP Simmons
,Oshane Thomas,O Thomas
,Hayden Walsh,HR Walsh
,,
,,
,,8e
