Sr.no,Player Name,Player Name 2
1,Rohit Sharma,RG Sharma
2,KL Rahul,
3,Virat Kohli,V Kohli (c)
4,Suryakumar Yadav,
5,Rishabh Pant,RR Pant
6,Hardik Pandya,HH Pandya
7,Ishan Kishan,
8,Ravindra Jadeja,RA Jadeja
9,Shardul Thakur,SN Thakur
10,Varun Chakravarthy,
11,Mohammed Shami,
12,Bhuvneshwar Kumar,
13,Jasprit Bumrah,JJ Bumrah
14,Rahul Chahar,
15,Ravichandran Ashwin,
