Sr.no,Player Name,Player Name 2
1,Babar Azam,Babar Azam (c)
2,Shadab Khan,
3,Mohammad Rizwan,
4,Asif Ali,
5,Sohaib Maqsood,
6,Azam Khan,
7,Khushdil Shah,
8,Mohammad Hafeez,
9,Mohammad Nawaz,
10,Mohammad Wasim Junior,
11,Shaheen Afridi,Shaheen Shah Afridi
12,Haris Rauf,
13,Hasan Ali,
14,Imad Wasim,
15,Mohammad Hasnain,
