Sr.no,Player Name,Player Name 2
1,Kane Williamson,KS Williamson (c)
2,Todd Astle,
3,Trent Boult,TA Boult
4,Mark Chapman,
5,Devon Conway,
6,Lockie Ferguson,LH Ferguson
7,Martin Guptill,MJ Guptill
8,Kyle Jamieson,
9,Daryl Mitchell,DJ Mitchell
10,James Neesham,JDS Neesham
11,Glenn Phillips,
12,Mitchell Santner,MJ Santner
13,Tim Seifert,TL Seifert
14,Ish Sodhi,IS Sodhi
15,Tim Southee,TG Southee
