Sr.no,Player Name,Player Name 2
1,Eoin Morgan,EJG Morgan (c)
2,Moeen Ali,MM Ali
3,Jonny Bairstow,JM Bairstow
4,Sam Billings,SW Billings
5,Jos Buttler,JC Buttler
6,Chris Jordan,CJ Jordan
7,Liam Livingstone,
8,Dawid Malan,DJ Malan
9,Tymal Mills,
10,Adil Rashid,AU Rashid
11,Jason Roy,JJ Roy
12,David Willey,DJ Willey
13,Chris Woakes,
14,Mark Wood,MA Wood
15,Tom Curran,TK Curran
R,Liam Dawson,
R,James Vince,
