Sr.no,Player Name,Player Name 2
1,Mohammad Nabi,
2,Rashid Khan,Rashid Khan (c)
3,Mujeeb Ur Rahman,
4,Rahmanullah Gurbaz,
5,Karim Janat,
6,Hazratullah Zazai,
7,Gulbadin Naib,
8,Usman Ghani,
9,Naveen-ul-Haq,
10,Asghar Afghan,
11,Hamid Hassan,
12,Sharafuddin Ashraf,
13,Najibullah Zadran,
14,Dawlat Zadran,
15,Hashmatullah Shahidi,
R,Shapoor Zadran,
R,Mohammad Shahzad,
R,Qais Ahmad,
