Sr.no,Player Name,Player Name 2
1,Temba Bavuma,T Bavuma
2,Keshav Maharaj,
3,Quinton de Kock,Q de Kock (c)
4,Bjorn Fortuin,BC Fortuin
5,Reeza Hendricks,RR Hendricks
6,Heinrich Klaasen,H Klaasen
7,Aiden Markram,
8,David Miller,DA Miller
9,Wiaan Mulder,
10,Lungi Ngidi,L Ngidi
11,Anrich Nortje,A Nortje
12,Dwaine Pretorius,D Pretorius
13,Kagiso Rabada,K Rabada
14,Tabraiz Shamsi,T Shamsi
15,Rassie van der Dussen,
