Sr.no,Player Name,Player Name 2
1,Dasun Shanaka,
2,Dhananjaya de Silva,
3,Kusal Janith Perera,
4,Dinesh Chandimal,
5,Avishka Fernando,
6,Bhanuka Rajapaksa,
7,Charith Asalanka,
8,Wanindu Hasaranga,
9,Kamindu Mendis,
10,Chamika Karunaratne,
11,Nuwan Pradeep,
12,Dushmantha Chameera,
13,Praveen Jayawickrama,
14,Lahiru Madushanka,
15,Maheesh Theekshana,
